Vial ,Site,Location,Rep,Collection Date,CH4 area,CH4 hgt,CO2  area,CO2 hgt,Run Date,File name,Notes,dilution sample vol (ml),dilution status,CH4 curve,Measured CH4 conc ppm,Measured CO2 conc ppm
254,Catfish,outlet,3,9/6/2022,152.3986,36.225,9408.8092,959.999,10/13/2022,EDC_C_55,NA,NA,0,high,50.37802489,2265.353262
255,Catfish,bottom,1,9/6/2022,14.4891,3.135,8178.8842,847.09,10/13/2022,EDC_C_56,NA,NA,0,high,21.29181288,1951.042762
256,Catfish,bottom,2,9/6/2022,32.5105,7.177,10478.1672,1054.867,10/13/2022,EDC_C_57,NA,NA,0,high,25.09266969,2538.630453
257,Catfish,bottom,3,9/6/2022,43.1427,9.568,14414.4518,1398.306,10/13/2022,EDC_C_58,NA,NA,0,high,27.33508535,3544.558118
258,Catfish,top,1,9/6/2022,36.006,7.948,9515.4748,966.08,10/13/2022,EDC_C_59,NA,NA,0,high,25.82989848,2292.611931
259,Catfish,top,2,9/6/2022,36.6726,8.083,9084.2972,927.616,10/13/2022,EDC_C_60,NA,NA,0,high,25.97048973,2182.423385
260,Catfish,top,3,9/6/2022,35.9188,7.952,9795.9038,991.109,10/13/2022,EDC_C_61,unable to check graph curve,NA,0,high,25.8115073,2364.276284
287,Picks,outlet,3,9/13/2022,30.695,6.723,12305.9535,1212.823,10/13/2022,EDC_C_62,NA,NA,0,high,24.70976628,3005.725948
294,Catfish,outlet,1,9/19/2022,451.1946,110.855,9851.6088,994.902,10/13/2022,EDC_C_63,hard to pull?,NA,0,high,113.3964812,2378.51184
295,Catfish,outlet,2,9/19/2022,665.6629,160.441,9346.41,949.188,10/13/2022,EDC_C_64,hard to pull?,NA,0,high,158.6295539,2249.406986
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,977.8272,230.142,45699.0024,3742.536,10/13/2022,EDC_C_65,NA,NA,0,high,224.4674912,11539.40558
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,974.2106,229.332,45712.6796,3744.801,10/13/2022,EDC_C_66,NA,NA,0,high,223.7047214,11542.90082
296,Catfish,outlet,3,9/19/2022,682.8785,164.329,15789.2998,1508.86,10/13/2022,EDC_C_67,hard to pull?,NA,0,high,162.2604611,3895.904064
297,Catfish,inlet,1,9/19/2022,0,0,7.8076,0.88,10/13/2022,EDC_C_68,hard to pull?,NA,0,low,0.525489467,-137.0969032
298,Catfish,inlet,2,9/19/2022,9.9726,2.174,7191.3045,750.426,10/13/2022,EDC_C_69,hard to pull?,NA,0,high,20.33924706,1698.664226
299,Catfish,inlet,3,9/19/2022,8.2522,1.798,3949.1692,440.209,10/13/2022,EDC_C_70,hard to pull?,NA,0,high,19.976401,870.1282023
300,Catfish,bottom,1,9/19/2022,10.0977,2.2,4704.2484,513.547,10/13/2022,EDC_C_71,hard to pull?,NA,0,high,20.36563165,1063.090636
301,Catfish,bottom,2,9/19/2022,10.441,2.271,4452.8166,489.552,10/13/2022,EDC_C_73,hard to pull? Couldn't get more than 5mL,NA,0,high,20.43803635,998.8365922
302,Catfish,bottom,3,9/19/2022,13.4359,2.92,5474.0385,587.509,10/13/2022,EDC_C_74,hard to pull? Couldn't get more than 5mL,NA,0,high,21.06968462,1259.812478
303,Catfish,top,1,9/19/2022,13.4424,2.946,4959.3629,537.785,10/13/2022,EDC_C_75,hard to pull? Couldn't get more than 5mL,NA,0,high,21.07105552,1128.285803
304,Catfish,top,2,9/19/2022,11.3086,2.429,4003.676,444.841,10/13/2022,EDC_C_76,hard to pull? Couldn't get more than 5mL,NA,0,high,20.6210201,884.0575554
305,Catfish,top,3,9/19/2022,11.9964,2.637,4591.388,502.093,10/13/2022,EDC_C_77,hard to pull? Couldn't get more than 5mL,NA,0,high,20.7660826,1034.24887
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,979.8332,230.188,45466.0728,3696.144,10/13/2022,EDC_C_78,NA,NA,0,high,224.8905726,11479.87982
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,974.7708,229.509,45342.685,3692.642,10/13/2022,EDC_C_79,NA,NA,0,high,223.8228721,11448.34775
room air,NA,NA,NA,NA,3.6302,0.813,2118.9328,254.28,10/13/2022,EDC_C_80,NA,NA,0,high,19.00158438,402.4065776
Deer center bottom 1,Deer,center bottom,1,9/14/2021,161.1683,3.558,7478.1336,772.372,10/13/2022,EDC_C_81,NA,NA,0,high,52.22762447,1771.964141
Air rep 6,Air,NA,6,9/14/2021,3.9498,0.852,3536.3503,397.603,10/13/2022,EDC_C_82,NA,NA,0,high,19.06899057,764.6312694
Air rep 5,Air,NA,5,9/14/2021,3.9769,0.878,3241.1244,368.474,10/13/2022,EDC_C_83,NA,NA,0,high,19.07470617,689.1855305
Air rep 4,Air,NA,4,9/14/2021,4.0186,0.886,4014.9934,444.766,10/13/2022,EDC_C_84,NA,NA,0,high,19.08350104,886.9497461
Deer outlet rep 1,Deer,outlet,1,9/14/2021,1977.6608,437.546,41107.9494,3379.91,10/13/2022,EDC_C_85,too high,NA,0,high,435.3403611,10366.15016
Deer inlet rep 1,Deer,inlet,1,9/14/2021,3596.8642,770.115,18216.3512,1688.883,10/13/2022,EDC_C_86,too high,NA,0,high,776.8432552,4516.143299
Deer near outlet rep 1,Deer,near outlet,1,9/14/2021,25.8078,5.67,"6,436.35",673.888,10/13/2022,EDC_C_87,NA,NA,0,high,23.67901687,1505.733737
Deer near inlet rep 1,Deer,near inlet,1,9/14/2021,25.974,5.719,6299.0428,660.865,10/13/2022,EDC_C_88,NA,NA,0,high,23.71406977,1470.644451
Deer center bottom rep 3,Deer,center bottom ,3,9/14/2021,13.1898,2.904,6899.6652,716.871,10/13/2022,EDC_C_89,NA,NA,0,high,21.01778017,1624.135052
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,984.229,231.754,45441.2074,3666.864,10/13/2022,EDC_C_90,NA,NA,0,high,225.8176818,11473.5254
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,980.1926,231.081,45376.6897,3666.539,10/13/2022,EDC_C_91,NA,NA,0,high,224.9663729,11457.03774
Air rep 1,Air,NA,1,NA,4.1077,0.9,3298.2081,373.198,10/13/2022,EDC_C_92,NA,NA,0,high,19.10229294,703.773417
136,Pick,inlet,1,7/13/2022,36.9642,8.203,26102.7448,2295.726,10/13/2022,EDC_C_93,NA,NA,0,high,26.03199049,6531.53149
137,Pick,inlet,2,7/13/2022,33.769,7.511,32663.3701,2271.009,10/13/2022,EDC_C_94,NA,NA,0,high,25.35809736,8208.116178
138,Pick,inlet,3,7/13/2022,32.556,7.213,31025.1441,2651.134,10/13/2022,EDC_C_95,NA,NA,0,high,25.102266,7789.463306
139,Pick,outlet,1,7/13/2022,174.9458,41.976,8466.287,856.469,10/13/2022,EDC_C_96,NA,NA,0,high,55.13340896,2024.489287
140,Pick,outlet,2,7/13/2022,250.2932,61.104,8487.2426,857.84,10/13/2022,EDC_C_97,NA,NA,0,high,71.02477576,2029.844545
141,Pick,outlet,3,7/13/2022,235.7448,57.31,9340.8674,934.106,10/13/2022,EDC_C_98,NA,NA,0,high,67.95640232,2247.99056
142,Pick,top,1,7/13/2022,77.259,17.666,21482.9416,1934.441,10/13/2022,EDC_C_99,NA,NA,0,high,34.53048476,5350.928887
143,Pick,top,2,7/13/2022,81.466,18.664,22640.4477,2020.729,10/13/2022,EDC_C_100,NA,NA,0,high,35.41777457,5646.732551
144,Pick,top,3,7/13/2022,103.1736,24.069,23540.9824,2088.825,10/13/2022,EDC_C_101,NA,NA,0,high,39.99608031,5876.866513
calibration check 200ppm CH4 10000 CO2,NA,NA,NA,NA,985.9452,231.967,45265.6236,"3,623",10/13/2022,EDC_C_102,NA,NA,0,high,226.1796421,11428.65451
173,Catfish,inlet,1,7/28/2022,166.074,39.7,10154.9482,1002.929,10/13/2022,EDC_C_104,NA,NA,0,high,53.26227567,2456.031005
174,Catfish,inlet,2,7/28/2022,94.2687,21.793,9783.925,969.619,10/13/2022,EDC_C_105,NA,NA,0,high,38.11796597,2361.215071
175,Catfish,inlet,3,7/28/2022,99.7767,23.063,10469.9358,1029.902,10/13/2022,EDC_C_106,NA,NA,0,high,39.27964704,2536.526897
