Location,trip,Trap,gas.vol,vial.number,anemometer,date,diffusive.start,diffusive.end,YSI.temp.top,YSI.mmHg.top,YSI.DO.top,YSI.DO.conc.top,YSI.SPC.top,YSI.C.top,YSI.pH.top,YSI.temp.bottom,YSI.mmHg.bottom,YSI.DO.bottom,YSI.DO.conc.bottom,YSI.SPC.bottom,YSI.C.bottom,YSI.pH.bottom,duckweed.shade,notes
Pick,1,P1A,0,,0.2/0.1,6/20/2022,10:54:00.203,10:55:41.881,26.2,751.3,29.6,2.32,54.3,55.6,6.71,26.1,751.2,21.9,1.8,55.4,56.6,6.66,,
Pick,1,P1B,0,,0.4/0.3,6/20/2022,11:00:56.399,11:02:17.277,26.4,751.2,30.1,2.4,54.2,55.6,6.7,21.8,751.2,0.4,0.04,107.6,101.2,6.43,,
Pick,1,P1C,0,,0.1/0.0,6/20/2022,11:07:47.094,11:08:33.879,26.4,751.1,26.3,2.07,54.7,56.1,6.67,17.2,751.1,0.5,0.05,311.5,266.1,7.07,,
Pick,1,P1D,0,,0.7/0.3,6/20/2022,11:11:51.777,11:12:52.690,26.7,751.1,31.4,2.52,54.2,56.2,6.13,15.2,751,0.7,0.07,420.3,345.1,7.3,,
Pick,1,P1E,0,,0.3/0.2,6/20/2022,11:17:05.575,11:18:04.486,26.5,751,31.3,2.39,54.3,55.8,6.72,19.6,751,0.5,0.04,224.6,200.9,6.8,,
Pick,1,P2A,2.5,,0.4/0.6,6/20/2022,11:27:13.178,11:28:06.082,26.6,751,27.6,21.9,54.5,56.2,6.7,26.3,751,22.9,1.88,54.6,56,6.67,in shade/broad leaf macrophyte,
Pick,1,P2B,0,,1.4/1.6,6/20/2022,11:30:57.877,11:32:49.883,26.9,751,29.7,2.33,54.7,56.6,6.68,26,751,15.2,1.22,55.8,56.8,6.59,,
Pick,1,P2C,0,,0.6/0.9,6/20/2022,11:34:43.777,11:35:58.679,26.8,751,26.7,2.1,54.8,56.8,6.65,16.2,751,0.3,0.03,442.7,368,7.33,,
Pick,1,P2D,0,,0.8/1.2,6/20/2022,11:39:30.377,11:40:36.379,26.9,751,32.5,2.51,54.6,56.6,6.72,21.1,751,0.3,0.03,196.6,182.1,6.75,,
Pick,1,P2E,0,,0.8/0.2,6/20/2022,11:42:51.000,11:44:03.262,27.3,750.9,41.9,3.33,54.5,56.8,6.82,26.4,751,38.8,3.05,54.4,55.8,6.72,,
Pick,1,P3A,1,,0.1/0.2,6/20/2022,11:51:37.000,11:52:22.192,27.1,750.9,28.3,2.23,55.1,57.2,6.68,26.5,750,23.5,1.9,54.9,56.5,6.64,duckweed and shade,
Pick,1,P3B,0,,0.0/0.1,6/20/2022,11:55:42.014,11:57:01.078,26.9,750.8,24.4,1.89,55.6,58.3,6.66,25.9,750,17.9,1.39,86.9,86.9,6.61,,
Pick,1,P3C,0,,0.0/2.8,6/20/2022,12:01:09.983,12:02:33.987,27,750.8,25.4,2,55.3,57.3,6.65,23.5,750.8,0.6,0.05,102.8,101.3,6.47,partly in duckweed,
Pick,1,P3D,1,,0.5/0.3,6/20/2022,12:05:16.977,12:06:11.982,27.2,750.8,23.7,1.87,55.6,58.1,6.64,24.2,750.8,0.4,0.03,84.4,82.9,6.36,,
Pick,1,P3E,0,,0.4/0.1,6/20/2022,12:10:04.893,12:11:08.879,27.5,750.7,31.3,2.71,55.3,58.6,6.7,22,750.6,0.6,0.05,191.1,178.8,6.84,in duckweed,
Pick,1,P4A,0,,0.3/0.7,6/20/2022,12:19:38.457,12:21:46.256,28.1,750.6,29.4,2.27,55.3,58.6,6.7,26.8,750.6,13.9,1.09,58.5,60.5,6.62,"in shade, in duckweed",battery wt right before sample
Pick,1,P4B,0,,0.6/1.1,6/20/2022,12:24:19.858,12:25:46.760,28.2,750.6,42.6,3.3,55,58.3,6.72,26.3,750.6,9.7,0.78,56.3,57.6,6.55,in duckweed,
Pick,1,P4C,0,,0.8/0.6,6/20/2022,12:30:28.057,12:31:48.954,27.6,750.6,25.3,1.95,55.8,58.6,6.62,26.1,750.6,21.3,1.69,54.7,55.9,6.64,in duckweed,
Pick,1,P4D,0,,0.2/1.1,6/20/2022,12:36:54.455,12:37:45.263,27.6,750.6,3.1,0.24,62.1,62.8,6.65,25.6,750.6,25.5,1.96,55.5,58.6,6.53,in duckweed,
Pick,1,P4E,0,,1.5/1.2,6/20/2022,12:40:25.860,12:42:22.566,29.8,750.6,32.8,2.45,56,60.8,6.7,25,750.6,3.1,0.23,55.6,55.6,6.54,,
Pick,1,P5A,0,,0.2/1.8,6/20/2022,12:44:46.156,12:46:22.967,27.8,750.7,18.1,1.44,56.2,59.1,6.62,24.4,750.6,1.2,0.11,63.6,63.1,6.54,in duckweed,
Pick,1,P5B,0,,0.6/1.2,6/20/2022,12:51:17.459,12:52:48.263,28.2,750.5,18.1,1.41,56,59.5,6.62,24.8,750.6,1.7,0.15,67,66.7,6.52,in duckweed,
Pick,1,P5C,0,,1.5/0.4,6/20/2022,12:55:29.160,12:56:32.158,28.2,750.6,30.4,2.34,55.6,58.6,6.65,24.9,750.6,1.8,0.15,59.1,59,6.47,in duckweed,
Pick,1,P5D,0,,0.1/0.0,6/20/2022,12:59:13.058,13:01:02.862,28.3,750.5,25.7,19.8,56.1,59.9,6.66,26.2,750.6,20.7,1.72,54.3,55.6,6.63,in duckweed,
Pick,1,P5E,0,,0.1/0.5,6/20/2022,13:02:32.753,13:04:59.660,28.3,750.5,26.1,2.05,55.8,59.4,6.64,25.8,750.5,3.8,0.3,65.3,66.3,6.46,in duckweed,
Pick,2,P1A,2.5,,0.7/1.1,6/20/2022,14:43:49.483,14:45:53.167,,,,,,,,,,,,,,,,
Pick,2,P1B,0,,0.5/0.6,6/20/2022,14:48:03.964,14:49:58.767,,,,,,,,,,,,,,,,
Pick,2,P1C,0,,0.6/1.2,6/20/2022,14:53:18.461,14:54:46.269,,,,,,,,,,,,,,,,
Pick,2,P1D,1,,0.8/1.3,6/20/2022,14:58:54.969,14:59:49.867,,,,,,,,,,,,,,,,
Pick,2,P1E,1,,0.3/1.5,6/20/2022,15:02:03.566,15:03:14.268,,,,,,,,,,,,,,,in shade,
Pick,2,P2A,60,0085,0.1/0.8,6/20/2022,15:09:52.165,15:11:31.869,31.4,749.6,4.15,50.9,55.8,62.7,6.96,28.1,749.7,4.5,59,53.5,56.6,6.99,possibly moved out of sediment,
Pick,2,P2B,0,,1.4/0.7,6/20/2022,15:16:58.771,15:18:17.667,,,,,,,,,,,,,,,,
Pick,2,P2C,0,,2.0/0.7,6/20/2022,15:20:30.564,15:23:08.565,28.5,749.7,31.3,2.38,55.2,58.5,6.77,16.1,749.5,0.5,0.05,465.1,385.6,7.5,in shade,
Pick,2,P2D,0,,0.9/1.3,6/20/2022,15:27:31.368,15:28:31.369,,,,,,,,,,,,,,,in shade,
Pick,2,P2E,0,,0.6/0.1,6/20/2022,15:30:46.275,15:31:37.167,,,,,,,,,,,,,,,in shade,
Pick,2,P3A,2.5,,0.6/1.1,6/20/2022,15:34:51.176,15:36:19.068,,,,,,,,,,,,,,,little duckweed,
Pick,2,P3B,1,,0.2/0.1,6/20/2022,15:39:59.973,15:41:19.068,,,,,,,,,,,,,,,little duckweed,
Pick,2,P3C,1,,0.1/0.2,6/20/2022,15:42:54.874,15:44:51.870,,,,,,,,,,,,,,,,
Pick,2,P3D,1,,0.3/0.2,6/20/2022,15:49:49.771,15:51:05.773,,,,,,,,,,,,,,,part shade,
Pick,2,P3E,0,,0.2/0.2,6/20/2022,15:52:50.688,15:54:59.568,,,,,,,,,,,,,,,"full shade, some duckweed",
Pick,2,P4A,0,,1.7/1.5,6/20/2022,16:04:54.574,16:06:14.578,30.8,749.3,87.9,6.45,54.5,60.4,7.08,27.7,749.4,44.4,3.4,53.4,55.9,6.73,"in duckweed, almost 100% cover",moved trap to 4m position on water transect rope
Pick,2,P4B,0,,0.5/0.9,6/20/2022,16:15:20.371,16:16:44.374,,,,,,,,,,,,,,,95% duckweed cover,pulled trap out of water on accident
Pick,2,P4C,1,,1.4/0.5,6/20/2022,16:18:53.369,16:20:25.381,31.3,749.3,52.6,3.74,55.4,61.5,6.84,27.2,749.4,32.2,2.45,47.5,49.2,6.64,90% duckweed cover,
Pick,2,P4D,0,,0.5/0.2,6/20/2022,16:26:11.375,16:27:10.373,,,,,,,,,,,,,,,80% duckweed cover,
Pick,2,P4E,0,,0.1/0.1,6/20/2022,16:32:29.374,16:33:27.377,,,,,,,,,,,,,,,100% duckweed  cover,
Pick,2,P5A,0,,1.1/0.8,6/20/2022,16:54:17.874,16:55:58.875,,,,,,,,,,,,,,,,possibly came out of water
Pick,2,P5B,25,0086,0.2/0.5,6/20/2022,16:49:09.000,16:50:30.880,,,,,,,,,,,,,,,duckweed,
Pick,2,P5C,0,,1.4/1.8,6/20/2022,16:43:41.085,16:45:27.078,,,,,,,,,,,,,,,duckweed,
Pick,2,P5D,0,,0.2/0.5,6/20/2022,16:39:55.179,16:41:16.181,,,,,,,,,,,,,,,duckweed,
Pick,2,P5E,2.5,,0.2/0.0,6/20/2022,16:36:00.276,16:37:22.279,,,,,,,,,,,,,,,"shaded, 100% duckweed",
Pick,3,P1A,7.5,,0.8/0.5,6/20/2022,18:42:26.198,18:44:11.179,,,,,,,,,,,,,,,,
Pick,3,P1B,0,,0.2/0.1,6/20/2022,18:46:21.984,18:48:23.873,,,,,,,,,,,,,,,,
Pick,3,P1C,0,,0.6/0.7,6/20/2022,18:50:50.369,18:52:36.173,,,,,,,,,,,,,,,,
Pick,3,P1D,1,,0.1/0.2,6/20/2022,18:55:40.788,18:57:21.674,,,,,,,,,,,,,,,,
Pick,3,P1E,1,,0.3/0.2,6/20/2022,18:59:56.668,19:01:41.474,,,,,,,,,,,,,,,,"paused because methane trace was weird, restarted at 19:50"
Pick,4,P1A,10,,0.2/0.3,6/20/2022,19:52:47.367,19:55:08.078,,,,,,,,,,,,,,,,
Pick,4,P1B,0,,0.1/0.2,6/20/2022,19:57:14.801,19:58:42.670,,,,,,,,,,,,,,,,
Pick,4,P1C,0,,0.3/0.1,6/20/2022,20:02:23.564,20:03:35.372,,,,,,,,,,,,,,,,
Pick,4,P1D,1,,0.0/0.0,6/20/2022,20:05:50.167,20:06:55.167,,,,,,,,,,,,,,,,
Pick,4,P1E,2.5,,0.1/0.1,6/20/2022,20:09:26.065,20:10:54.879,,,,,,,,,,,,,,,,
Pick,4,P2A,0,,0.1/0.1,6/20/2022,20:17:10.771,20:19:12.670,29.6,748.6,58.4,4.33,55.4,60.2,7.01,29.4,748.5,50.4,3.82,54.8,59.3,6.94,,
Pick,4,P2B,1,,0.0/0.2,6/20/2022,20:24:40.466,20:26:03.370,,,,,,,,,,,,,,,duckweed,
Pick,4,P2C,1,,0.2/0.3,6/20/2022,20:27:52.273,20:29:14.171,29.4,748.5,57,4.31,55.2,59.8,6.95,17.4,748.5,1,0.09,382.8,327.3,7.24,duckweed,
Pick,4,P2D,0,,0.1/0.2,6/20/2022,20:35:31.871,20:36:56.869,,,,,,,,,,,,,,,duckweed,
Pick,4,P2E,1,,0.2/0.4,6/20/2022,20:38:46.169,20:39:54.600,,,,,,,,,,,,,,,duckweed,
Pick,4,P3A,7,,0.2/0.2,6/20/2022,20:44:57.574,20:46:22.570,,,,,,,,,,,,,,,duckweed,
Pick,4,P3B,1,,0.2/0.2,6/20/2022,20:48:07.573,20:49:43.576,,,,,,,,,,,,,,,duckweed,
Pick,4,P3C,10,,0.2/0.3,6/20/2022,20:51:50.584,20:52:56.475,,,,,,,,,,,,,,,duckweed,
Pick,4,P3D,2,,0.0/0.0,6/20/2022,20:55:27.375,20:56:30.376,,,,,,,,,,,,,,,duckweed,
Pick,4,P3E,0,,0.1/0.2,6/20/2022,20:58:08.375,20:59:43.279,29.3,748.7,84.8,6.47,54.1,58.6,7.11,27.7,748.7,6.3,0.49,132.9,140.1,6.52,duckweed,
Pick,4,P4A,10,,0.0/0.0,6/20/2022,21:02:44.277,21:04:39.272,,,,,,,,,,,,,,,duckweed,
Pick,4,P4B,7,,0.0/0.0,6/20/2022,21:12:24.381,21:14:01.070,,,,,,,,,,,,,,,duckweed,
Pick,4,P4C,2,,0.0/0.0,6/20/2022,21:16:02.075,21:17:11.075,,,,,,,,,,,,,,,duckweed,
Pick,4,P4D,125,,0.0/0.0,6/20/2022,21:25:12.782,21:26:24.779,,,,,,,,,,,,,,,duckweed,"duckweed in headspace, could be O2 not CH4"
Pick,4,P4E,10,,0.0/0.0,6/20/2022,21:29:01.676,21:30:36.674,,,,,,,,,,,,,,,duckweed,
Pick,4,P5A,2,,0.1/0.1,6/20/2022,21:47:15.380,21:48:55.277,,,,,,,,,,,,,,,duckweed,
Pick,4,P5B,2.5,,0.0/0.0,6/20/2022,21:43:19.476,21:44:28.379,,,,,,,,,,,,,,,duckweed,
Pick,4,P5C,5,,0.1/0.0,6/20/2022,21.39:49.579,21:41:07.581,,,,,,,,,,,,,,,duckweed,
Pick,4,P5D,12,,0.0/0.0,6/20/2022,21:37:19.581,21:38:32.580,29.2,748.7,58.6,4.46,54.4,58.8,6.85,26.7,748.7,1.6,0.12,77.9,79.8,6.34,duckweed,
Pick,4,P5E,12,,0.0/0.0,6/20/2022,21:33:52.577,21:35:01.580,,,,,,,,,,,,,,,duckweed,
Pick,6,P1A,12,,0.3,6/21/2022,5:23:16.000,5:24:27.581,,,,,,,,,,,,,,,,
Pick,6,P1B,1,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P1C,0,,0.1,6/21/2022,5:26:57.379,5:28:37.307,,,,,,,,,,,,,,,,
Pick,6,P1D,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P1E,0,,0,6/21/2022,5:32:09.876,5:33:49.677,,,,,,,,,,,,,,,,
Pick,6,P2A,0,,0,6/21/2022,5:37:15.380,5:40:41.080,26.4,749.4,36.8,2.76,54.5,56,6.76,26.4,749.4,26.9,1.87,54.5,55.8,6.71,,
Pick,6,P2B,1, ,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P2C,0,,0,6/21/2022,5:34:02.876,5:46:02.679,26.5,749.3,31.2,2.52,54.7,56.3,6.74,17.6,749.3,0.6,0.07,363.4,311.8,7.12,,
Pick,6,P2D,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P2E,2,,0,6/21/2022,5:48:54.575,5:50:13.517,26.4,749.4,31.9,2.48,54.8,56.3,8.79,26.5,749.3,25.8,2.04,54.8,56.4,6.76,,
Pick,5,P1A,10,,0.1,6/21/2022,0:50:30.162,0:51:53.965,,,,,,,,,,,,,,,,
Pick,5,P1B,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P1C,0,,0.3,6/21/2022,0:57:05.560,0:58:31.369,,,,,,,,,,,,,,,,
Pick,5,P1D,5,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P1E,2,,0,6/21/2022,1:02:00.863,1:02:31.665,,,,,,,,,,,,,,,,
Pick,5,P2A,0,,0,6/21/2022,1:11:33.168,1:13:47.064,27.6,749.1,48.4,3.63,54.2,56.8,6.85,26.7,749.1,5.8,0.4,6.8,69,6.64,,
Pick,5,P2B,1,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P2C,0,,0.3,6/21/2022,1:17:17.970,1:19:18.762,27.5,749.2,38.9,2.93,54.8,57.5,6.8,16.1,749.1,0.6,0.06,472.4,392.7,7.3,duckweed,
Pick,5,P2D,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P2E,0.1,,,6/21/2022,1:23:27.565,1:25:09.274,,,,,,,,,,,,,,,,
Pick,5,P3A,0,,0,6/21/2022,1:28:27.264,1:29:50.166,,,,,,,,,,,,,,,,*
Pick,5,P3B,1,,,6/21/2022,,,,,,,,,,,,,,,,,,*
Pick,5,P3C,10,,0,6/21/2022,1:32:38.970,1:34:00.869,,,,,,,,,,,,,,,,*
Pick,5,P3D,3,,,6/21/2022,,,,,,,,,,,,,,,,,,*
Pick,5,P3E,0,,0.1,6/21/2022,1:37:04.673,1:38:56.670,,,,,,,,,,,,,,,,*
Pick,5,P4A,15,0087,0,6/21/2022,1:44:41.560,1:47:03.471,22.4,749,45.2,3.44,54.7,57.2,6.82,26.8,748.9,2.5,0.18,167.2,75.3,6.37,duckweed,
Pick,5,P4B,8,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P4C,0,,0,6/21/2022,1:54:41.166,1:57:21.167,27.5,748.9,46.1,3.41,57.6,54.2,6.78,26.3,749,1.4,0.12,62.3,63.6,6.51,duckweed,sank
Pick,5,P4D,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P4E,1,,0.4,6/21/2022,2:02:27.171,2:04:02.079,,,,,,,,,,,,,,,,
Pick,5,P5A,0,,0,6/21/2022,2:17:47.674,2:19:35.672,,,,,,,,,,,,,,,,
Pick,5,P5B,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,5,P5C,10,,,6/21/2022,2:12:32.771,2:13:34.708,,,,,,,,,,,,,,,,
Pick,5,P5D,9,,,6/21/2022,,,,,,,,,,,,,,,,,,Laura emptied out
Pick,5,P5E,1,,,6/21/2022,2:07:01.972,2:08:22.872,,,,,,,,,,,,,,,duckweed,
Pick,6,P3A,10,,0.0/0.0,6/21/2022,6:24:09.997,6:26:09.681,,,,,,,,,,,,,,,,
Pick,6,P3B,5,,0.0/0.0,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P3C,125,0088,0.2/0.2,6/21/2022,6:35:12.461,6:36:43.179,,,,,,,,,,,,,,,,probably came out of water
Pick,6,P3D,4,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P3E,15,,0.4/0.4,6/21/2022,6:41:07.862,6:42:46.667,,,,,,,,,,,,,,,,
Pick,6,P4A,12,,,6/21/2022,6:46:29.266,6:48:47.065,26.1,749.5,0.3,0.83,55,56.3,6.65,26.2,749.6,4.9,0.38,56.5,57.6,6.59,,
Pick,6,P4B,15,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P4C,0,,0.0/0.2,6/21/2022,6:52:18.969,6:53:45.865,26.4,749.7,14.2,1.12,55.5,57,6.65,26.1,749.6,0.06,0.8,69.7,71.2,6.47,,
Pick,6,P4D,7,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P4E,7,,0.4/0.4,6/21/2022,6:58:45.568,7:00:22.464,,,,,,,,,,,,,,,,emptied bubble trap
Pick,6,P5A,0,,0.2/0.4,6/21/2022,7:15:04.571,7:18:30.495,,,,,,,,,,,,,,,,
Pick,6,P5B,0,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P5C,7,,0.4/0.5,6/21/2022,7:10:57.866,7:12:12.866,,,,,,,,,,,,,,,,
Pick,6,P5D,5,,,6/21/2022,,,,,,,,,,,,,,,,,,
Pick,6,P5E,23,0089,0.1,6/21/2022,7:05:15.067,7:07:10.870,,,,,,,,,,,,,,,,
