"Site","Location","Rep","Collection.Date","Notes","Original_Liq_CH4_umol","Original_Liq_CO2_umol"
"Deans","top",2,"8/16/2022",NA,0.616795855056076,109.507893962432
"Deans","top",3,"8/16/2022",NA,0.54954111232998,105.107096127837
"Deans","top",1,"8/16/2022","needle bent; don't include",0.369395937205713,72.4589809831502
"Deans","bottom",1,"8/16/2022","split peak",0.883546434167222,53.8851301958697
"Deans","bottom",1,"8/16/2022",NA,0.821344051729572,82.3532260241419
"Deans","bottom",2,"8/16/2022",NA,0.922734456716378,107.577576726113
"Deans","bottom",3,"8/16/2022",NA,0.905884595475615,76.8480081697978
"Deans","outlet",1,"8/16/2022",NA,0.373217678340864,56.4517911355478
"Deans","outlet",2,"8/16/2022",NA,0.370443343867381,47.7981820312841
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Deans","outlet",3,"8/16/2022",NA,0.188193957472962,46.221617038862
"Deans","inlet",1,"8/16/2022","exceeds highest standard",11.902280096447,316.173596741341
"Deans","inlet",2,"8/16/2022","exceeds highest standard",21.2378411668578,481.368717618243
"Deans","inlet",3,"8/16/2022","exceeds highest standard",14.9156012404399,298.171294951142
"Sister3","inlet",1,"8/23/2022",NA,0.0229813502765098,79.5631942416733
"Sister3","inlet",2,"8/23/2022",NA,0.0228529207531738,66.5244377331427
"Sister3","inlet",3,"8/23/2022",NA,0.0228876524744298,79.6197863628368
"Sister3","bottom",1,"8/23/2022","exceeds highest standard",7.7387282627302,140.392818613433
"Sister3","top",1,"8/23/2022",NA,0.836065733306355,35.0432133062014
NA,NA,NA,NA,NA,NA,NA
"Sister3","top",2,"8/23/2022",NA,0.852368213933915,42.5931081522949
"Sister3","top",3,"8/23/2022",NA,0.85728253828426,43.2201837419319
"Sister3","outlet",1,"8/23/2022",NA,2.57780403681083,76.8107540490373
"Sister3","outlet",2,"8/23/2022",NA,2.70164881774125,77.1311286191099
"Sister3","outlet",3,"8/23/2022",NA,2.57594914630815,91.5507525226919
"Deans","inlet",1,"8/31/2022","exceeds highest standard",18.1208996154945,404.864353256798
"Deans","outlet",1,"8/31/2022",NA,3.43989867522327,203.726313254362
"Deans","outlet",2,"8/31/2022",NA,4.19383773785586,134.943560611061
"Deans","outlet",3,"8/31/2022",NA,5.30059374333558,121.4775508722
"Deans","top",1,"8/31/2022",NA,0.218236597003022,56.1019132774491
NA,NA,NA,NA,NA,NA,NA
"Deans","top",2,"8/31/2022",NA,2.50007625245017,71.1599281883216
"Deans","top",3,"8/31/2022",NA,0.220857165910623,59.5758714675202
"Deans","bottom",1,"8/31/2022",NA,0.227643625017091,31.9358426866602
"Deans","bottom",2,"8/31/2022",NA,0.294561841703006,44.4118617650015
"Deans","bottom",3,"8/31/2022",NA,0.346764917394993,33.5303307513971
"Catfish","inlet",3,"9/6/2022",NA,0.774181301320996,140.036211462936
"Catfish","inlet",2,"9/6/2022",NA,0.632731855759682,134.789801295363
"Catfish","inlet",1,"9/6/2022",NA,0.385824314663667,146.958981307195
"Catfish","outlet",1,"9/6/2022",NA,1.33407979291916,151.684007384474
"Catfish","outlet",2,"9/6/2022",NA,1.92893747826725,133.767436775321
NA,NA,NA,NA,NA,NA,NA
"Catfish","outlet",3,"9/6/2022",NA,1.14350180616638,139.51917802357
"Catfish","bottom",1,"9/6/2022",NA,0.483776417942047,120.746912496163
"Catfish","bottom",2,"9/6/2022",NA,0.567578650301704,153.728675143909
"Catfish","bottom",3,"9/6/2022",NA,0.619842252462095,217.256050061193
"Catfish","top",1,"9/6/2022",NA,0.585418524941948,140.173157392416
"Catfish","top",2,"9/6/2022",NA,0.587434326069418,132.155325905262
"Catfish","top",3,"9/6/2022","unable to check graph curve",0.583838254620829,143.169077322983
"Picks","outlet",3,"9/13/2022",NA,0.555629675952954,176.924550973712
"Catfish","outlet",1,"9/19/2022","hard to pull?",2.56240902883249,143.343667669684
"Catfish","outlet",2,"9/19/2022","hard to pull?",3.57923306086037,134.597877087288
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Catfish","outlet",3,"9/19/2022","hard to pull?",3.65756061674122,232.034706407539
"Catfish","inlet",1,"9/19/2022","hard to pull?",0.0118452121113289,-8.18710702737862
"Catfish","inlet",2,"9/19/2022","hard to pull?",0.458248081900833,100.920079850579
"Catfish","inlet",3,"9/19/2022","hard to pull?",0.450293910583679,51.8072850762192
"Catfish","bottom",1,"9/19/2022","hard to pull?",0.457278984918827,62.1277605463711
"Catfish","bottom",2,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.458017723139623,57.8354638268008
"Catfish","bottom",3,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.472400937178593,73.1200233391786
"Catfish","top",1,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.473118194659769,65.9390998166776
"Catfish","top",2,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.46256499825068,51.4231182120693
"Catfish","top",3,"9/19/2022","hard to pull? Couldn't get more than 5mL",0.465145045622284,59.7495265823028
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Deer","center bottom",1,"9/14/2021",NA,NA,NA
"Air",NA,6,"9/14/2021",NA,NA,NA
"Air",NA,5,"9/14/2021",NA,NA,NA
"Air",NA,4,"9/14/2021",NA,NA,NA
"Deer","outlet",1,"9/14/2021","too high",NA,NA
"Deer","inlet",1,"9/14/2021","too high",NA,NA
"Deer","near outlet",1,"9/14/2021",NA,NA,NA
"Deer","near inlet",1,"9/14/2021",NA,NA,NA
"Deer","center bottom ",3,"9/14/2021",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Air",NA,1,NA,NA,NA,NA
"Pick","inlet",1,"7/13/2022",NA,0.588242304912523,393.666866299594
"Pick","inlet",2,"7/13/2022",NA,0.573014408751137,494.722983834239
"Pick","inlet",3,"7/13/2022",NA,0.565837536083288,463.950807949882
"Pick","outlet",1,"7/13/2022",NA,1.23673732412183,117.785870954174
"Pick","outlet",2,"7/13/2022",NA,1.60493980723475,122.327751565835
"Pick","outlet",3,"7/13/2022",NA,1.53032417804418,133.249448843893
"Pick","top",1,"7/13/2022",NA,0.772714072001416,307.806213685405
"Pick","top",2,"7/13/2022",NA,0.793714630379539,327.059389940099
"Pick","top",3,"7/13/2022",NA,0.896314759617095,340.389629973623
NA,NA,NA,NA,NA,NA,NA
"Catfish","inlet",1,"7/28/2022",NA,1.19188914384148,141.26910711608
"Catfish","inlet",2,"7/28/2022",NA,0.850955662924306,134.284404941193
"Catfish","inlet",3,"7/28/2022",NA,0.872748207693534,141.078860169966
"Sister3","bottom",1,"8/23/2022",NA,4.02627943418024,87.3405601649717
"Sister3","bottom",2,"8/23/2022",NA,2.37525934021417,58.9699418302984
NA,NA,1,NA,NA,NA,NA
NA,NA,2,NA,NA,NA,NA
"Sister3","bottom",3,"8/23/2022",NA,2.26947466552101,63.7724896603201
"Deans","inlet",1,"8/16/2022",NA,6.78325748551548,185.592207850797
"Deans","inlet",2,"8/16/2022",NA,12.334130902579,277.224999241128
"Deans","inlet",3,"8/16/2022",NA,10.7352844897421,238.294222736361
"Deans","inlet",1,"8/31/2022",NA,11.8314735025844,263.34415030793
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Deans","inlet",2,"8/31/2022",NA,21.2917772666701,442.7489600269
"Deans","inlet",3,"8/31/2022",NA,17.6828461679064,426.203560887711
"Deans","outlet",3,"8/31/2022",NA,2.67353540347245,85.0543821913557
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Picks","top",1,"9/13/2022",NA,95.2790960624323,569.20427156383
"Picks","top",2,"9/13/2022",NA,101.327534355562,551.986532141493
"Picks","top",3,"9/13/2022",NA,99.3764950150032,558.580139038326
"Picks","bottom",1,"9/13/2022",NA,195.615695464395,819.250780900205
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Picks","bottom",2,"9/13/2022",NA,97.4649828116071,557.547618754371
"Picks","bottom",3,"9/13/2022",NA,84.7838762574,527.28026807579
"Picks","inlet",1,"9/13/2022","Needle bent",11.5308056340756,167.597426123399
"Picks","inlet",2,"9/13/2022",NA,9.11031262684232,158.349141730869
"Picks","inlet",3,"9/13/2022",NA,9.31348583764321,176.927693222812
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Picks","oulet",1,"9/13/2022",NA,0.30892900523286,171.906961760979
"Picks","outlet",2,"9/13/2022",NA,0.23065921133163,130.254261377776
"Deans","D3E",4,"8/30/2022",NA,NA,NA
"Deans","1A-2C",NA,"8/31/2022",NA,NA,NA
"Deans","2D-4A",NA,"8/31/2022",NA,NA,NA
"Deans","4B-5A",NA,"8/31/2022",NA,NA,NA
"Deans","5B-5E",NA,"8/31/2022",NA,NA,NA
"Deans","4B-5A",NA,"8/31/2022","Rerun",NA,NA
NA,NA,NA,NA,NA,NA,NA
"Deans","5B-5E",NA,"8/31/2022","Rerun",NA,NA
"Deans","Fresh bubbles",1,"8/31/2022",NA,NA,NA
"Deans","Fresh bubbles",2,"8/31/2022",NA,NA,NA
"Deans","Fresh bubbles",3,"8/31/22",NA,NA,NA
"Deans","Fresh bubbles",3,"8/31/22","Rerun",NA,NA
"Picks","P1D",2,"9/13/2022",NA,NA,NA
"Picks","P1D",2,"9/13/2022","Rerun",NA,NA
"Picks","P1D",4,"9/13/2022","Outside std curve but did not rerun",NA,NA
"Picks","P5A",5,"9/13/2022",NA,NA,NA
"Picks","P1D",7,"9/14/2022",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Catfish","zero air",NA,"7/28/2022",NA,NA,NA
"Catfish","zero air",NA,"7/28/2022",NA,NA,NA
"Catfish","zero air",NA,"7/28/2022",NA,NA,NA
"Catfish","top",1,"7/28/2022",NA,0.485497467857816,46.9300723302909
"Catfish","top",2,"7/28/2022",NA,0.694436320891711,54.6737609488564
"Catfish","top",3,"7/28/2022","Hard to pull",0.215448836788968,57.611349609887
"Catfish","bottom",1,"7/28/2022","Hard to pull; double peak",NA,277.39278917947
"Catfish","bottom",1,"7/28/2022","Possibly could not retrieve enough gas",0.279368490817902,22.5509118581078
"Catfish","bottom",2,"7/28/2022",NA,128.843729393362,194.416858187617
"Catfish","bottom",2,"7/28/2022",NA,211.980034065361,240.985149415436
"Catfish","bottom",3,"7/28/2022",NA,491.223771548006,529.886678033104
"Catfish","outlet",1,"7/28/2022",NA,0.0728347414179372,109.958597348331
NA,NA,NA,NA,"Didn't properly flush the sample loop",NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Catfish","outlet",2,"7/28/2022",NA,0.0555390069369731,102.624233574789
"Catfish","outlet",3,"7/28/2022",NA,0.0521946995559087,93.4798257419641
