Number,Name,Description,GeometryType,Latitude,Longitude,Altitude
111,Picks inlet,,Point,33.88625052,-83.29553598,190.005
110,P5A,,Point,33.88667706,-83.29611633,189.969
109,P5B,,Point,33.88663405,-83.29609919,189.563
108,P5C,,Point,33.88656908,-83.29609087,191.766
107,P5D,,Point,33.88651775,-83.29607887,191.75
106,P5E,,Point,33.8864555,-83.29607477,191.428
105,P4A,,Point,33.88678525,-83.29625318,194.383
104,P4B,,Point,33.88673629,-83.29622732,190.593
103,P4C,,Point,33.88667418,-83.2962177,191.891
102,P4D,,Point,33.88660288,-83.29624507,189.794
101,P4E,,Point,33.88654016,-83.29623275,190.795
100,P3E,,Point,33.88685681,-83.29672288,190.049
99,P3D,,Point,33.88690313,-83.29668749,189.608
98,P3C,,Point,33.88700655,-83.29667293,191.276
97,P3B,,Point,33.88708551,-83.29660883,189.36
96,P3A,,Point,33.88713914,-83.2966055,188.278
95,P2A,,Point,33.8875115,-83.2971472,189.081
94,P2B,,Point,33.88745676,-83.29715344,191.406
93,P2C,,Point,33.88738898,-83.29719231,190.76
92,P2D,,Point,33.88732484,-83.29716636,189.603
91,P2E,,Point,33.88727975,-83.29719873,191.537
90,P1E,,Point,33.88748811,-83.29759323,189.035
89,P1D,,Point,33.88754028,-83.29760153,188.869
88,P1C,,Point,33.88759436,-83.29759394,189.728
87,P1B,,Point,33.88768364,-83.29754474,188.898
86,P1A,,Point,33.88775219,-83.29753825,191.38
85,Catfish inlet 2,,Point,33.88647163,-83.35366828,170.285
84,Catfish inlet 1,,Point,33.88633184,-83.35343194,168.561
83,C5E,,Point,33.88637769,-83.35339891,173.257
82,C5D,,Point,33.88639045,-83.35341322,169.558
81,C5C,,Point,33.88641159,-83.35343912,167.488
80,C5B,,Point,33.88644896,-83.35346993,170.49
79,C5A,,Point,33.8864792,-83.35349488,174.858
78,C4E,,Point,33.8864658,-83.35330163,169.007
77,C4D,,Point,33.88650256,-83.35332143,168.692
76,C4C,,Point,33.88652345,-83.35334789,168.453
75,C4B,,Point,33.88654625,-83.35335263,172.254
74,C4A,,Point,33.88655358,-83.35335007,174.408
73,C3E,,Point,33.8865492,-83.35318659,168.831
72,C3D,,Point,33.88657169,-83.35317636,169.862
71,C3C,,Point,33.88661645,-83.35315883,171.176
70,C3B,,Point,33.88666852,-83.35314677,172.175
69,C3A,,Point,33.8866953,-83.35314378,170.636
68,C2A,,Point,33.88675937,-83.35292652,169.756
67,C2B,,Point,33.88672314,-83.35296449,168.989
66,C2C,,Point,33.88666071,-83.35297656,168.381
65,C2D,,Point,33.88661008,-83.35300787,170.146
64,C2E,,Point,33.88655968,-83.35302643,169.618
63,C1E,,Point,33.88659333,-83.35272737,168.089
62,C1D,,Point,33.88665043,-83.35271897,168.201
61,C1C,,Point,33.88670922,-83.35274127,169.043
60,C1B,,Point,33.88675911,-83.35270225,170.983
58,Deans inlet 2,,Point,33.88450631,-83.3609581,171.563
59,C1A,,Point,33.88682095,-83.35270916,168.56
57,Deans inlet 1,,Point,33.88436338,-83.36045116,173.099
56,D1E,,Point,33.88348401,-83.3610668,170.521
55,D1D,,Point,33.88348118,-83.3609655,170.547
54,D1C,,Point,33.88348144,-83.36081779,170.454
53,D1B,,Point,33.88348662,-83.36071947,170.438
52,D1A,,Point,33.88350999,-83.36064755,170.728
51,D2A,,Point,33.88365434,-83.3606209,171.852
50,D2B,,Point,33.88366203,-83.36072291,172.2
49,D2C,,Point,33.88369082,-83.36078831,173.407
48,D2D,,Point,33.88375735,-83.3609088,171.898
47,D2E,,Point,33.88374377,-83.36094373,172.572
46,D3E,,Point,33.88393551,-83.36086511,171.618
45,D3D,,Point,33.88390614,-83.36083724,170.99
44,D3C,,Point,33.8838884,-83.36075207,170.835
43,D3B,,Point,33.88386232,-83.36066682,170.681
42,D3A,,Point,33.88381341,-83.36057198,170.776
41,D4A,,Point,33.88399226,-83.36051664,171.807
40,D4B,,Point,33.88404763,-83.36061843,171.9
39,D4C,,Point,33.88410734,-83.36067942,171.74
38,D4D,,Point,33.88411476,-83.36074936,171.971
37,D4E,,Point,33.8841382,-83.36078193,172.164
36,D5E,,Point,33.88431131,-83.36086153,172.694
35,D5D,,Point,33.8842707,-83.36076648,172.27
34,D5C,,Point,33.88427665,-83.36065486,172.33
33,D5B,,Point,33.88426381,-83.36056049,170.557
32,D5A,,Point,33.88422202,-83.36049366,171.24
31,Sister inlet,,Point,33.88888611,-83.36243152,188.711
30,S5E,,Point,33.88881278,-83.36260213,187.148
29,S5D,,Point,33.88881082,-83.36258742,186.46
28,S5C,,Point,33.88879994,-83.36257161,186.953
27,S5B,,Point,33.88879451,-83.36255359,184.836
26,S5A,,Point,33.88879408,-83.36252507,185.216
25,S4A,,Point,33.88871905,-83.36258759,186.545
23,S4C,,Point,33.88876247,-83.36260883,186.367
24,S4B,,Point,33.88873318,-83.36260015,186.076
22,S4D,,Point,33.88877893,-83.36262865,185.795
21,S4E,,Point,33.888802,-83.36264237,186.521
20,S3E,,Point,33.88880462,-83.36271863,187.005
19,S3D,,Point,33.88877423,-83.36269922,185.979
18,S3C,,Point,33.88872479,-83.36274794,185.331
17,S3B,,Point,33.88867788,-83.36272707,185.948
16,S3A,,Point,33.88864155,-83.36272702,185.271
15,S2A,,Point,33.88856949,-83.36285658,183.121
13,S2C,,Point,33.88867925,-83.36285521,185.675
14,S2B,,Point,33.88862208,-83.36286554,185.349
12,S2D,,Point,33.88877429,-83.36284091,185.975
11,S2E,,Point,33.88882608,-83.36282806,186.536
10,S1E,,Point,33.88882143,-83.36291119,186.639
8,S1C,,Point,33.88869598,-83.36292095,185.195
9,S1D,,Point,33.88876952,-83.36291674,184.986
7,S1B,,Point,33.8886048,-83.36292802,187.022
6,S1A,,Point,33.88852735,-83.36293669,185.305
