Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CO2.curve,Measured.CH4.conc.ppm,Measured.CO2.conc.ppm,Sample.Vol,Final.Vol,Undiluted.CH4.conc.ppm,Undiluted.CO2.conc.ppm,CH4.Conc.Flag,CH4.perc,Data.Flag
218,Deans,D3E,4,8/30/2022,2377.4306,443.196,128.8876,15.12,10/12/2022,EDC_B_54,NA,1 mL into 10 glass syringe,1,low,11659.52109,532.4019198,1,10,116595.2109,5324.019198,0,11.65952109,NA
219,Deans,1A-2C,NA,8/31/2022,1933.2566,368.407,32.6583,4.341,10/12/2022,EDC_B_55,NA,1 mL into 10 glass syringe,1,low,9481.839578,65.11091689,1,10,94818.39578,651.1091689,0,9.481839578,NA
220,Deans,2D-4A,NA,8/31/2022,2087.518,395.082,38.986,5.146,10/12/2022,EDC_B_56,NA,1 mL into 10 glass syringe,1,low,10238.14724,95.83832817,1,10,102381.4724,958.3832817,0,10.23814724,NA
221,Deans,4B-5A,NA,8/31/2022,4433.4391,755.398,35.752,4.724,10/12/2022,EDC_B_57,NA,1 mL into 10 glass syringe,1,low,21739.65118,80.13397302,1,10,217396.5118,801.3397302,0,21.73965118,R
222,Deans,5B-5E,NA,8/31/2022,3979.9503,691.157,38.2888,5.047,10/12/2022,EDC_B_58,NA,1 mL into 10 glass syringe,1,low,19516.30137,92.45271395,1,10,195163.0137,924.5271395,0,19.51630137,R
221,Deans,4B-5A,NA,8/31/2022,1836.6786,351.68,11.8378,1.526,10/12/2022,EDC_B_59,Rerun,0.2 mL into 10 glass syringe,1,low,9008.340172,-35.99376044,0.2,10,450417.0086,-1799.688022,0,45.04170086,NA
222,Deans,5B-5E,NA,8/31/2022,1082.5272,215.613,5.294,0.654,10/12/2022,EDC_B_61,Rerun,0.2 mL into 10 glass syringe,1,low,5310.911773,-67.77055675,0.2,10,265545.5886,-3388.527837,0,26.55455886,NA
223,Deans,Fresh bubbles,1,8/31/2022,2310.3264,431.692,121.729,14.349,10/12/2022,EDC_B_62,NA,0.1 mL into 10 glass syringe,1,low,11330.52485,497.639645,0.1,10,1133052.485,49763.9645,1,113.3052485,NA
224,Deans,Fresh bubbles,2,8/31/2022,2134.5154,402.458,75.9841,9.482,10/12/2022,EDC_B_63,NA,0.1 mL into 10 glass syringe,1,low,10468.56453,275.501687,0.1,10,1046856.453,27550.1687,1,104.6856453,NA
225,Deans,Fresh bubbles,3,8/31/2022,838.3701,169.406,17.9769,2.357,10/12/2022,EDC_B_64,NA,0.1 mL into 10 glass syringe,1,low,4113.866464,-6.182193737,0.1,10,411386.6464,-618.2193737,0,41.13866464,R
225,Deans,Fresh bubbles,3,8/31/2022,1200.2003,237.622,31.2504,4.146,10/12/2022,EDC_B_65,Rerun,0.1 mL into 10 glass syringe,1,low,5887.835533,58.27413222,0.1,10,588783.5533,5827.413222,0,58.87835533,NA
261,Picks,P1D,2,9/13/2022,2773.7724,507.061,72.7458,9.109,10/12/2022,EDC_B_66,NA,0.2 mL into 10 glass syringe,1,low,13602.69248,259.776451,0.2,10,680134.6242,12988.82255,0,68.01346242,R
261,Picks,P1D,2,9/13/2022,1592.4242,308.923,29.5488,3.916,10/12/2022,EDC_B_67,Rerun,0.1 mL into 10 glass syringe,1,low,7810.817824,50.0111357,0.1,10,781081.7824,5001.11357,0,78.10817824,NA
262,Picks,P1D,4,9/13/2022,2995.2732,542.031,49.9881,6.475,10/12/2022,EDC_B_68,Outside std curve but did not rerun,0.1 mL into 10 glass syringe,1,low,14688.65924,149.2646998,0.1,10,1468865.924,14926.46998,1,146.8865924,NA
263,Picks,P5A,5,9/13/2022,1004.1704,201.104,98.9094,11.955,10/12/2022,EDC_B_69,NA,0.1 mL into 10 glass syringe,1,low,4926.74666,386.8273064,0.1,10,492674.666,38682.73064,0,49.2674666,NA
264,Picks,P1D,7,9/14/2022,2765.7104,505.769,56.101,7.212,10/12/2022,EDC_B_70,NA,0.1 mL into 10 glass syringe,1,low,13563.16638,178.9490389,0.1,10,1356316.638,17894.90389,1,135.6316638,NA
265,Picks,P2A,7,9/14/2022,2179.6105,410.1,79.7596,9.865,10/12/2022,EDC_B_78,NA,0.1 mL into 10 glass syringe,NA,low,10689.65283,266.7608632,0.1,10,1068965.283,26676.08632,1,106.8965283,NA
266,Picks,P1D,8,9/14/2022,1480.4161,288.822,22.1264,2.897,10/12/2022,EDC_B_79,NA,0.1 mL into 10 glass syringe,NA,low,7261.665785,-35.34963051,0.1,10,726166.5785,-3534.963051,0,72.61665785,NA
267,Picks,1A-1D,NA,9/14/2022,1769.9856,340.648,52.593,6.805,10/12/2022,EDC_B_81,NA,0.1 mL into 10 glass syringe,NA,low,8681.357498,124.3548379,0.1,10,868135.7498,12435.48379,0,86.81357498,NA
268,Picks,1E-2C,NA,9/14/2022,1833.8744,351.364,23.5824,3.108,10/12/2022,EDC_B_82,NA,0.1 mL into 10 glass syringe,NA,low,8994.589382,-27.71734775,0.1,10,899458.9382,-2771.734775,0,89.94589382,NA
270,Picks,2D-3B,NA,9/14/2022,268.0817,56.281,5.6563,0.688,10/12/2022,EDC_B_83,NA,0.1 mL into 10 glass syringe,NA,low,1317.873014,-121.6851115,0.1,10,131787.3014,-12168.51115,0,13.17873014,NA
271,Picks,3C-4E,NA,9/14/2022,1720.4938,331.52,20.4289,2.699,10/12/2022,EDC_B_84,NA,0.1 mL into 10 glass syringe,NA,low,8438.710747,-44.24784479,0.1,10,843871.0747,-4424.784479,0,84.38710747,NA
272,Picks,5A-5E,NA,9/14/2022,1163.9667,230.958,10.2942,1.297,10/12/2022,EDC_B_85,NA,0.1 mL into 10 glass syringe,NA,low,5710.188193,-97.37346024,0.1,10,571018.8193,-9737.346024,0,57.10188193,NA
273,Picks,Fresh bubbles,1,9/14/2022,1008.2082,201.958,22.0295,2.891,10/12/2022,EDC_B_86,NA,0.1 mL into 10 glass syringe,NA,low,4946.5406,-35.85757571,0.1,10,494654.06,-3585.757571,0,49.465406,NA
274,Picks,Fresh bubbles,2,9/14/2022,0,0,0,0,10/12/2022,EDC_B_87,"no over-pressure, started to pull on inserting needle",0.1 mL into 10 glass syringe,NA,low,3.530972604,-151.3351671,0.1,10,353.0972604,-15133.51671,0,0.035309726,H
275,Picks,Fresh bubbles,3,9/14/2022,2933.7212,532.321,125.194,14.589,10/12/2022,EDC_B_89,NA,0.1 mL into 10 glass syringe,NA,low,14386.88169,504.9258274,0.1,10,1438688.169,50492.58274,1,143.8688169,NA
176,Deans,D1A-D3B,NA,8/17/2022,186.23,39.571,4.2393,0.519,10/12/2022,EDC_B_90,NA,0.1 mL into 10 glass syringe,NA,low,916.5732221,-129.1129581,0.1,10,91657.32221,-12911.29581,0,9.165732221,NA
177,Deans,D3C-D5B,NA,8/17/2022,1091.6321,217.754,5.6905,0.706,10/12/2022,EDC_B_91,NA,0.1 mL into 10 glass syringe,NA,low,5355.548522,-121.5058367,0.1,10,535554.8522,-12150.58367,0,53.55548522,NA
178,Deans,Fresh bubbles,1,8/17/2022,2168.0764,408.354,97.198,11.723,10/12/2022,EDC_B_92,NA,0.1 mL into 10 glass syringe,NA,low,10633.10383,358.1721267,0.1,10,1063310.383,35817.21267,1,106.3310383,NA
179,Deans,Fresh bubbles,2,8/17/2022,118.8792,25.775,3.316,0.392,10/12/2022,EDC_B_93,NA,0.1 mL into 10 glass syringe,NA,low,586.3679601,-133.9528528,0.1,10,58636.79601,-13395.28528,0,5.863679601,NA
180,Deans,Fresh bubbles,3,8/17/2022,2320.1184,433.871,76.8284,9.526,10/12/2022,EDC_B_94,NA,0.1 mL into 10 glass syringe,NA,low,11378.53029,251.3956522,0.1,10,1137853.029,25139.56522,1,113.7853029,NA
193,Sister 3,P3B,4,8/22/2022,25.6732,6.245,1.194,0.152,10/12/2022,EDC_B_95,NA,0.1 mL into 10 glass syringe,NA,low,129.4006836,-145.0762759,0.1,10,12940.06836,-14507.62759,0,1.294006836,R
193,Sister 3,P3B,4,8/22/2022,1561.6883,304.122,130.8358,15.199,10/12/2022,EDC_B_96,Not diluted,NA,NA,low,7660.124424,534.4998747,NA,NA,7660.124424,534.4998747,0,0.766012442,NA
194,Sister 3,P5C,6,8/23/2022,2737.9244,502.026,12.0736,1.547,10/12/2022,EDC_B_97,NA,0.1 mL into 10 glass syringe,NA,low,13426.93565,-88.04593006,0.1,10,1342693.565,-8804.593006,1,134.2693565,NA
195,Sister 3,1B-3D,NA,8/23/2022,407.3347,84.46,1.9666,0.231,10/12/2022,EDC_B_98,I think this should say diluted,0.1 mL into 10 glass syringe,NA,low,2000.597991,-141.0263434,0.1,10,200059.7991,-14102.63434,0,20.00597991,NA
196,Sister3,3E-4D,NA,8/23/2022,1019.5473,204.083,4.0564,0.506,10/13/2022,EDC_C_14,NA,0.1 mL into 10 glass syringe,1,low,5002.575104,-70.60306406,0.1,10,500257.5104,-7060.306406,0,50.02575104,NA
197,Sister3,"4E,5B",NA,8/23/2022,1113.909,221.98,2.7138,0.33,10/13/2022,EDC_C_15,NA,0.1 mL into 10 glass syringe,1,low,5465.00858,-77.36057595,0.1,10,546500.858,-7736.057595,0,54.6500858,NA
198,Sister3,5C-5D,NA,8/23/2022,1757.2498,338.695,16.5269,2.216,10/13/2022,EDC_C_16,NA,0.1 mL into 10 glass syringe,1,low,8617.795383,-7.837123317,0.1,10,861779.5383,-783.7123317,0,86.17795383,NA
199,Sister3,5E,NA,8/23/2022,1992.9755,379.798,14.199,1.878,10/13/2022,EDC_C_17,NA,0.1 mL into 10 glass syringe,1,low,9773.004062,-19.55380135,0.1,10,977300.4062,-1955.380135,0,97.73004062,NA
200,Sister3,Fresh bubbles,1,8/23/2022,2523.0837,467.863,33.5343,4.508,10/13/2022,EDC_C_18,NA,0.1 mL into 10 glass syringe,1,low,12370.87775,77.76373154,0.1,10,1237087.775,7776.373154,1,123.7087775,NA
201,Sister3,Fresh bubbles,2,8/23/2022,885.5455,178.519,11.7728,1.517,10/13/2022,EDC_C_19,NA,0.1 mL into 10 glass syringe,1,low,4345.879451,-31.76523838,0.1,10,434587.9451,-3176.523838,0,43.45879451,NA
202,Sister3,Fresh bubbles,3,8/23/2022,2072.6996,393.167,90.33,11.22,10/13/2022,EDC_C_20,NA,0.1 mL into 10 glass syringe,1,low,10163.70381,363.6252079,0.1,10,1016370.381,36362.52079,1,101.6370381,NA
238,Catfish,C5D,4,9/6/2022,2459.8592,457.969,278.1262,30.638,10/13/2022,EDC_C_21,NA,0.1 mL into 10 glass syringe,1,low,12061.03673,1308.832309,0.1,10,1206103.673,130883.2309,1,120.6103673,NA
239,Catfish,C5A,6,9/7/2022,1913.7469,365.757,82.9936,10.397,10/13/2022,EDC_C_22,NA,0.1 mL into 10 glass syringe,1,low,9384.732582,326.6999805,0.1,10,938473.2582,32669.99805,0,93.84732582,NA
240,Catfish,2A-2D,NA,9/7/2022,994.1363,199.375,6.9836,0.872,10/13/2022,EDC_C_25,NA,0.1 mL into 10 glass syringe,1,low,4878.044738,-55.87001713,0.1,10,487804.4738,-5587.001713,0,48.78044738,NA
241,Catfish,2E-3E,NA,9/7/2022,912.1979,183.799,8.315,1.054,10/13/2022,EDC_C_26,NA,0.1 mL into 10 glass syringe,1,low,4476.493482,-49.16887655,0.1,10,447649.3482,-4916.887655,0,44.76493482,NA
242,Catfish,4C-4D,NA,9/7/2022,1405.9548,275.645,7.9893,1.008,10/13/2022,EDC_C_27,NA,0.1 mL into 10 glass syringe,1,low,6896.222245,-50.80817465,0.1,10,689622.2245,-5080.817465,0,68.96222245,NA
243,Catfish,4E-5A,NA,9/7/2022,2117.073,400.559,172.2186,19.761,10/13/2022,EDC_C_28,NA,0.1 mL into 10 glass syringe,1,low,10381.16223,775.7831017,0.1,10,1038116.223,77578.31017,1,103.8116223,NA
244,Catfish,5B-5C,NA,9/7/2022,1684.9321,325.697,11.1664,1.425,10/13/2022,EDC_C_29,NA,0.1 mL into 10 glass syringe,1,low,8263.391791,-34.81734266,0.1,10,826339.1791,-3481.734266,0,82.63391791,NA
245,Catfish,5D-5E,NA,9/7/2022,2516.4478,466.705,140.7462,16.447,10/13/2022,EDC_C_30,NA,0.1 mL into 10 glass syringe,1,low,12338.35754,617.3776814,0.1,10,1233835.754,61737.76814,1,123.3835754,NA
246,Catfish,Fresh bubbles,1,9/7/2022,1434.5152,281.48,79.7854,9.978,10/13/2022,EDC_C_31,NA,0.1 mL into 10 glass syringe,1,low,7036.186712,310.5526174,0.1,10,703618.6712,31055.26174,0,70.36186712,NA
247,Catfish,Fresh bubbles,2,9/7/2022,965.2501,193.802,36.1614,4.852,10/13/2022,EDC_C_32,NA,0.1 mL into 10 glass syringe,1,low,4736.48364,90.98632911,0.1,10,473648.364,9098.632911,0,47.3648364,NA
248,Catfish,Fresh bubbles,3,9/7/2022,1744.6058,336.2,88.6818,10.94,10/13/2022,EDC_C_33,NA,0.1 mL into 10 glass syringe,1,low,8555.831589,355.3295643,0.1,10,855583.1589,35532.95643,0,85.55831589,NA
288,Catfish,1A-4B,NA,9/19/2022,884.2829,178.361,7.8838,0.996,10/13/2022,EDC_C_38,NA,0.1 mL into 10 glass syringe,1,low,4339.691893,-51.33917234,0.1,10,433969.1893,-5133.917234,0,43.39691893,NA
289,Catfish,4C-5A,NA,9/19/2022,1613.842,313.175,9.0154,1.131,10/13/2022,EDC_C_39,NA,0.1 mL into 10 glass syringe,1,low,7915.004235,-45.64365584,0.1,10,791500.4235,-4564.365584,0,79.15004235,NA
290,Catfish,5B-5D,NA,9/19/2022,1747.6394,336.836,9.2571,1.183,10/13/2022,EDC_C_40,NA,0.1 mL into 10 glass syringe,1,low,8570.698195,-44.42714264,0.1,10,857069.8195,-4442.714264,0,85.70698195,NA
291,Catfish,Fresh bubbles,1,9/19/2022,1291.4734,254.908,43.9928,5.798,10/13/2022,EDC_C_41,NA,0.1 mL into 10 glass syringe,1,low,6335.189201,130.4029674,0.1,10,633518.9201,13040.29674,0,63.35189201,NA
292,Catfish,Fresh bubbles,2,9/19/2022,2505.9244,465.16,153.989,17.725,10/13/2022,EDC_C_42,NA,0.1 mL into 10 glass syringe,1,low,12286.78606,684.0307266,0.1,10,1228678.606,68403.07266,1,122.8678606,NA
293,Catfish,Fresh bubbles,3,9/19/2022,1534.313,298.907,47.924,6.269,10/13/2022,EDC_C_43,NA,0.1 mL into 10 glass syringe,1,low,7525.2606,150.1893005,0.1,10,752526.06,15018.93005,0,75.252606,NA
